Morphometric parameters of basin :
 
Easting Centroid of basin,371532.57
Northing Centroid of basin,7046073.38
Rectangle containing basin N-W,"('283124.80563604', '7085235.89924361')"
Rectangle containing basin S-E,"('461151.98962145', '7005612.65701387')"
Area of basin [km^2],8239.71130743444
Perimeter of basin [km],630.903959242122
Max Elevation [m s.l.m.],1375.0
Min Elevation [m s.l.m.],239.0
Elevation Difference [m],1136.0
Mean Elevation,782.1813
Mean Slope,7.16
Length of Directing Vector [km],75.63477146302732
"Prevalent Orientation [degree from north, counterclockwise]",0.5329288929543212
Compactness Coefficient,6.159595537395009
Circularity Ratio,0.26013294283400207
Topological Diameter,338.0
Elongation Ratio,0.24166709441617992
Shape Factor,19.440993680105482
"Concentration Time (Giandotti, 1934) [hr]",37.04387332263201
Length of Mainchannel [km],423.831798056
Mean slope of mainchannel [percent],0.46879033351631993
Mean hillslope length [m],97461.23
Magnitudo ,3143.0
Max order (Strahler) ,        6 
Number of streams ,       4638 
Total Stream Length [km] ,    7620.3359 
First order stream frequency ,0.3814454029674762
Drainage Density [km/km^2] ,0.92483044801878
Bifurcation Ratio (Horton) ,  5.2196 
Length Ratio (Horton) ,  3.2699 
Area ratio (Horton) ,   4.8344 
Slope ratio (Horton) ,  1.7309 
