Data;E65948000;E74320000;E74295000;E74100000;E74270000
1/1/1942;;;;1238,8;
2/1/1942;;;;1128;
3/1/1942;;;;1074,2;
4/1/1942;;;;979,4;
5/1/1942;;;;948,5;
6/1/1942;;;;837;
7/1/1942;;;;797;
8/1/1942;;;;;
9/1/1942;;;;;
10/1/1942;;;;;
11/1/1942;;;;;
12/1/1942;;;;;
13/1/1942;;;;;
14/1/1942;;;;;
15/1/1942;;;;;
16/1/1942;;;;;
17/1/1942;;;;;
18/1/1942;;;;;
19/1/1942;;;;;
20/1/1942;;;;;
21/1/1942;;;;;
22/1/1942;;;;;
23/1/1942;;;;;
24/1/1942;;;;;
25/1/1942;;;;;
26/1/1942;;;;;
27/1/1942;;;;;
28/1/1942;;;;;
29/1/1942;;;;;
30/1/1942;;;;;
31/1/1942;;;;;
1/2/1942;;;;817;
2/2/1942;;;;897;
3/2/1942;;;;837;
4/2/1942;;;;797;
5/2/1942;;;;797;
6/2/1942;;;;817;
7/2/1942;;;;2020;
8/2/1942;;;;2983;
9/2/1942;;;;4155;
10/2/1942;;;;3592,5;
11/2/1942;;;;2836;
12/2/1942;;;;2164,6;
13/2/1942;;;;1838,6;
14/2/1942;;;;1651,1;
15/2/1942;;;;1469,8;
16/2/1942;;;;1422,8;
17/2/1942;;;;1376,4;
18/2/1942;;;;1250,2;
19/2/1942;;;;877;
20/2/1942;;;;847;
21/2/1942;;;;817;
22/2/1942;;;;797;
23/2/1942;;;;;
24/2/1942;;;;;
25/2/1942;;;;;
26/2/1942;;;;;
27/2/1942;;;;;
28/2/1942;;;;;
1/3/1942;;;;;
2/3/1942;;;;;
3/3/1942;;;;;
4/3/1942;;;;;
5/3/1942;;;;;
6/3/1942;;;;;
7/3/1942;;;;;
8/3/1942;;;;;
9/3/1942;;;;;
10/3/1942;;;;;
11/3/1942;;;;;
12/3/1942;;;;;
13/3/1942;;;;;
14/3/1942;;;;;
15/3/1942;;;;;
16/3/1942;;;;;
17/3/1942;;;;;
18/3/1942;;;;;
19/3/1942;;;;787,4;
20/3/1942;;;;1063,6;
21/3/1942;;;;1216;
22/3/1942;;;;1273;
23/3/1942;;;;1161;
24/3/1942;;;;989,7;
25/3/1942;;;;857;
26/3/1942;;;;867;
27/3/1942;;;;1010,6;
28/3/1942;;;;2551,4;
29/3/1942;;;;3177;
30/3/1942;;;;3686,9;
31/3/1942;;;;6360;
1/4/1942;;;;6930,5;
2/4/1942;;;;5858,6;
3/4/1942;;;;3686,9;
4/4/1942;;;;2510;
5/4/1942;;;;2025,1;
6/4/1942;;;;1864,2;
7/4/1942;;;;1577,3;
8/4/1942;;;;1446;
9/4/1942;;;;1825,8;
10/4/1942;;;;2071;
11/4/1942;;;;1763;
12/4/1942;;;;1411,2;
13/4/1942;;;;1273;
14/4/1942;;;;1411,2;
15/4/1942;;;;1956,8;
16/4/1942;;;;1788;
17/4/1942;;;;1446;
18/4/1942;;;;1295,8;
19/4/1942;;;;1216;
20/4/1942;;;;1128;
21/4/1942;;;;958,8;
22/4/1942;;;;857;
23/4/1942;;;;797;
24/4/1942;;;;797;
25/4/1942;;;;797;
26/4/1942;;;;797;
27/4/1942;;;;1161;
28/4/1942;;;;1713;
29/4/1942;;;;1838,6;
30/4/1942;;;;1980,5;
1/5/1942;;;;2763;
2/5/1942;;;;2413,8;
3/5/1942;;;;1738;
4/5/1942;;;;1651,1;
5/5/1942;;;;2030,2;
6/5/1942;;;;2060,8;
7/5/1942;;;;2117,8;
8/5/1942;;;;1838,6;
9/5/1942;;;;1651,1;
10/5/1942;;;;1307,2;
11/5/1942;;;;1172;
12/5/1942;;;;1063,6;
13/5/1942;;;;969,1;
14/5/1942;;;;948,5;
15/5/1942;;;;1216;
16/5/1942;;;;1063,6;
17/5/1942;;;;2413,8;
18/5/1942;;;;3237,6;
19/5/1942;;;;3750,5;
20/5/1942;;;;6266;
21/5/1942;;;;5442,5;
22/5/1942;;;;4657;
23/5/1942;;;;4106,1;
24/5/1942;;;;3437;
25/5/1942;;;;2188;
26/5/1942;;;;1738;
27/5/1942;;;;1469,8;
28/5/1942;;;;1364,8;
29/5/1942;;;;1295,8;
30/5/1942;;;;1194;
31/5/1942;;;;1084,8;
1/6/1942;;;;1053;
2/6/1942;;;;1128;
3/6/1942;;;;1031,8;
4/6/1942;;;;867;
5/6/1942;;;;917,6;
6/6/1942;;;;948,5;
7/6/1942;;;;907,3;
8/6/1942;;;;897;
9/6/1942;;;;907,3;
10/6/1942;;;;938,2;
11/6/1942;;;;1053;
12/6/1942;;;;1216;
13/6/1942;;;;1106;
14/6/1942;;;;1031,8;
15/6/1942;;;;979,4;
16/6/1942;;;;1074,2;
17/6/1942;;;;1183;
18/6/1942;;;;1330;
19/6/1942;;;;1330;
20/6/1942;;;;1238,8;
21/6/1942;;;;1250,2;
22/6/1942;;;;1330;
23/6/1942;;;;1250,2;
24/6/1942;;;;1095,4;
25/6/1942;;;;989,7;
26/6/1942;;;;927,9;
27/6/1942;;;;877;
28/6/1942;;;;817;
29/6/1942;;;;797;
30/6/1942;;;;797;
1/7/1942;;;;758,6;
2/7/1942;;;;777,8;
3/7/1942;;;;787,4;
4/7/1942;;;;847;
5/7/1942;;;;1042,4;
6/7/1942;;;;1216;
7/7/1942;;;;1446;
8/7/1942;;;;1330;
9/7/1942;;;;1250,2;
10/7/1942;;;;1117;
11/7/1942;;;;1106;
12/7/1942;;;;1031,8;
13/7/1942;;;;1031,8;
14/7/1942;;;;1150;
15/7/1942;;;;1330;
16/7/1942;;;;1273;
17/7/1942;;;;1216;
18/7/1942;;;;1422,8;
19/7/1942;;;;1589,6;
20/7/1942;;;;1980,5;
21/7/1942;;;;1713;
22/7/1942;;;;1529,3;
23/7/1942;;;;1376,4;
24/7/1942;;;;1273;
25/7/1942;;;;1172;
26/7/1942;;;;1084,8;
27/7/1942;;;;1273;
28/7/1942;;;;1469,8;
29/7/1942;;;;1399,6;
30/7/1942;;;;1956,8;
31/7/1942;;;;2060,8;
1/8/1942;;;;1813;
2/8/1942;;;;1614,2;
3/8/1942;;;;1713;
4/8/1942;;;;1813;
5/8/1942;;;;1725,5;
6/8/1942;;;;1651,1;
7/8/1942;;;;1688;
8/8/1942;;;;1725,5;
