Data;E84949800;E84820000;E84853000;E84800000;E84949000
1/1/1976;;2,355;;;
2/1/1976;;1,802;;;
3/1/1976;;1,504;;;
4/1/1976;;10,85;;;
5/1/1976;;9,79;;;
6/1/1976;;9,79;;;
7/1/1976;;36,5;;;
8/1/1976;;59,75;;;
9/1/1976;;27,6;;;
10/1/1976;;98,4;;;
11/1/1976;;104;;;
12/1/1976;;69,5;;;
13/1/1976;;89,6;;;
14/1/1976;;39,75;;;
15/1/1976;;71,75;;;
16/1/1976;;51,5;;;
17/1/1976;;64,25;;;
18/1/1976;;37,8;;;
19/1/1976;;46,5;;;
20/1/1976;;61,25;;;
21/1/1976;;68,75;;;
22/1/1976;;53,75;;;
23/1/1976;;39,1;;;
24/1/1976;;29,4;;;
25/1/1976;;22,35;;;
26/1/1976;;21,8;;;
27/1/1976;;20,7;;;
28/1/1976;;48,6;;;
29/1/1976;;27;;;
30/1/1976;;20,7;;;
31/1/1976;;15,5;;;
1/2/1976;;13,5;;;
2/2/1976;;12,97;;;
3/2/1976;;11,91;;;
4/2/1976;;8,2;;;
5/2/1976;;7,135;;;
6/2/1976;;5,005;;;
7/2/1976;;4,65;;;
8/2/1976;;2,865;;;
9/2/1976;;2,1;;;
10/2/1976;;2,1;;;
11/2/1976;;2,1;;;
12/2/1976;;2,1;;;
13/2/1976;;2,1;;;
14/2/1976;;2,1;;;
15/2/1976;;1,802;;;
16/2/1976;;1,355;;;
17/2/1976;;10,85;;;
18/2/1976;;4,65;;;
19/2/1976;;57,5;;;
20/2/1976;;27;;;
21/2/1976;;23,45;;;
22/2/1976;;46,5;;;
23/2/1976;;33,25;;;
24/2/1976;;23,45;;;
25/2/1976;;24,6;;;
26/2/1976;;28,8;;;
27/2/1976;;33,9;;;
28/2/1976;;35,85;;;
29/2/1976;;20,7;;;
1/3/1976;;15,5;;;
2/3/1976;;12,44;;;
3/3/1976;;12,97;;;
4/3/1976;;23,45;;;
5/3/1976;;32,6;;;
6/3/1976;;73,25;;;
7/3/1976;;28,8;;;
8/3/1976;;23,45;;;
9/3/1976;;31,3;;;
10/3/1976;;53,75;;;
11/3/1976;;41,7;;;
12/3/1976;;23,45;;;
13/3/1976;;183;;;
14/3/1976;;90,4;;;
