Data;E71550000;E71498000;E71383000;E71350001;E71300000;E71250000;E71200000
1/1/1941;;64,4;;;;;
2/1/1941;;44,9;;;;;
3/1/1941;;34,5;;;;;
4/1/1941;;28,5;;;;;
5/1/1941;;24,9;;;;;
6/1/1941;;25,6;;;;;
7/1/1941;;40,4;;;;;
8/1/1941;;48,7;;;;;
9/1/1941;;47,7;;;;;
10/1/1941;;41,3;;;;;
11/1/1941;;65,6;;;;;
12/1/1941;;78,8;;;;;
13/1/1941;;94,4;;;;;
14/1/1941;;86;;;;;
15/1/1941;;72,8;;;;;
16/1/1941;;71,6;;;;;
17/1/1941;;64,4;;;;;
18/1/1941;;46,8;;;;;
19/1/1941;;37,9;;;;;
20/1/1941;;30;;;;;
21/1/1941;;25,6;;;;;
22/1/1941;;25,6;;;;;
23/1/1941;;38,7;;;;;
24/1/1941;;38,7;;;;;
25/1/1941;;33;;;;;
26/1/1941;;28,5;;;;;
27/1/1941;;24,2;;;;;
28/1/1941;;21,4;;;;;
29/1/1941;;18,3;;;;;
30/1/1941;;17,8;;;;;
31/1/1941;;25,6;;;;;
1/2/1941;;90,8;;;;;
2/2/1941;;95,6;;;;;
3/2/1941;;55,3;;;;;
4/2/1941;;57,2;;;;;
5/2/1941;;182;;;;;
6/2/1941;;213;;;;;
7/2/1941;;155;;;;;
8/2/1941;;181;;;;;
9/2/1941;;222;;;;;
10/2/1941;;229;;;;;
11/2/1941;;172;;;;;
12/2/1941;;133;;;;;
13/2/1941;;131;;;;;
14/2/1941;;206;;;;;
15/2/1941;;167;;;;;
16/2/1941;;122;;;;;
17/2/1941;;128;;;;;
18/2/1941;;230;;;;;
19/2/1941;;187;;;;;
20/2/1941;;143;;;;;
21/2/1941;;122;;;;;
22/2/1941;;95,6;;;;;
23/2/1941;;82,4;;;;;
24/2/1941;;72,8;;;;;
25/2/1941;;64,4;;;;;
26/2/1941;;56,3;;;;;
27/2/1941;;54,4;;;;;
28/2/1941;;68;;;;;
1/3/1941;;70,4;;;;;
2/3/1941;;58,2;;;;;
3/3/1941;;49,6;;;;;
4/3/1941;;50,6;;;;;
5/3/1941;;54,4;;;;;
6/3/1941;;50,6;;;;;
7/3/1941;;41,3;;;;;
8/3/1941;;35,3;;;;;
9/3/1941;;33;;;;;
10/3/1941;;30,7;;;;;
11/3/1941;;30;;;;;
12/3/1941;;28,5;;;;;
13/3/1941;;31,5;;;;;
14/3/1941;;53,5;;;;;
15/3/1941;;155;;;;;
16/3/1941;;169;;;;;
17/3/1941;;134;;;;;
18/3/1941;;84,8;;;;;
19/3/1941;;80;;;;;
20/3/1941;;245;;;;;
21/3/1941;;372;;;;;
22/3/1941;;324;;;;;
23/3/1941;;370;;;;;
24/3/1941;;296;;;;;
25/3/1941;;332;;;;;
26/3/1941;;245;;;;;
27/3/1941;;196;;;;;
28/3/1941;;151;;;;;
29/3/1941;;127;;;;;
30/3/1941;;108;;;;;
31/3/1941;;95,6;;;;;
1/4/1941;;88,4;;;;;
2/4/1941;;78,8;;;;;
3/4/1941;;68;;;;;
4/4/1941;;61;;;;;
5/4/1941;;55,3;;;;;
6/4/1941;;51,5;;;;;
7/4/1941;;46,8;;;;;
8/4/1941;;43;;;;;
9/4/1941;;41,3;;;;;
10/4/1941;;39,6;;;;;
11/4/1941;;37;;;;;
12/4/1941;;34,5;;;;;
13/4/1941;;33;;;;;
14/4/1941;;37;;;;;
15/4/1941;;42,1;;;;;
16/4/1941;;40,4;;;;;
17/4/1941;;80;;;;;
18/4/1941;;143;;;;;
19/4/1941;;88,4;;;;;
20/4/1941;;66,8;;;;;
21/4/1941;;46,8;;;;;
22/4/1941;;37,9;;;;;
23/4/1941;;35,3;;;;;
24/4/1941;;33;;;;;
25/4/1941;;30;;;;;
26/4/1941;;28,5;;;;;
27/4/1941;;30;;;;;
28/4/1941;;31,5;;;;;
29/4/1941;;33,7;;;;;
30/4/1941;;41,3;;;;;
1/5/1941;;130;;;;;
2/5/1941;;122;;;;;
3/5/1941;;76,4;;;;;
4/5/1941;;55,3;;;;;
5/5/1941;;116;;;;;
6/5/1941;;152;;;;;
7/5/1941;;110;;;;;
8/5/1941;;90,8;;;;;
9/5/1941;;71,6;;;;;
10/5/1941;;58,2;;;;;
11/5/1941;;48,7;;;;;
12/5/1941;;41,3;;;;;
13/5/1941;;43;;;;;
14/5/1941;;40,4;;;;;
15/5/1941;;68;;;;;
16/5/1941;;95,6;;;;;
17/5/1941;;69,2;;;;;
18/5/1941;;52,5;;;;;
19/5/1941;;44,9;;;;;
20/5/1941;;41,3;;;;;
21/5/1941;;39,6;;;;;
22/5/1941;;43;;;;;
23/5/1941;;44;;;;;
24/5/1941;;39,6;;;;;
25/5/1941;;36,2;;;;;
26/5/1941;;34,5;;;;;
27/5/1941;;34,5;;;;;
28/5/1941;;49,6;;;;;
29/5/1941;;70,4;;;;;
30/5/1941;;58,2;;;;;
31/5/1941;;51,5;;;;;
1/6/1941;;44,9;;;;;
2/6/1941;;39,6;;;;;
3/6/1941;;34,5;;;;;
4/6/1941;;31,5;;;;;
5/6/1941;;30;;;;;
6/6/1941;;28,5;;;;;
7/6/1941;;27;;;;;
8/6/1941;;25,6;;;;;
9/6/1941;;24,2;;;;;
10/6/1941;;22,8;;;;;
11/6/1941;;24,2;;;;;
12/6/1941;;224;;;;;
13/6/1941;;181;;;;;
14/6/1941;;124;;;;;
15/6/1941;;90,8;;;;;
16/6/1941;;76,4;;;;;
17/6/1941;;64,4;;;;;
18/6/1941;;66,8;;;;;
19/6/1941;;94,4;;;;;
20/6/1941;;75,2;;;;;
21/6/1941;;76,4;;;;;
22/6/1941;;116;;;;;
23/6/1941;;157;;;;;
24/6/1941;;122;;;;;
25/6/1941;;131;;;;;
26/6/1941;;113;;;;;
27/6/1941;;90,8;;;;;
28/6/1941;;76,4;;;;;
29/6/1941;;65,6;;;;;
30/6/1941;;59,1;;;;;
1/7/1941;;56,3;;;;;
2/7/1941;;52,5;;;;;
3/7/1941;;48,7;;;;;
4/7/1941;;46,8;;;;;
5/7/1941;;48,7;;;;;
6/7/1941;;45,8;;;;;
7/7/1941;;43;;;;;
8/7/1941;;39,6;;;;;
9/7/1941;;37,9;;;;;
10/7/1941;;34,5;;;;;
11/7/1941;;33;;;;;
12/7/1941;;33;;;;;
13/7/1941;;31,5;;;;;
14/7/1941;;33;;;;;
15/7/1941;;31,5;;;;;
16/7/1941;;33;;;;;
17/7/1941;;41,3;;;;;
18/7/1941;;44,9;;;;;
19/7/1941;;37;;;;;
20/7/1941;;30,7;;;;;
21/7/1941;;28,5;;;;;
22/7/1941;;27,7;;;;;
23/7/1941;;26,3;;;;;
24/7/1941;;31,5;;;;;
25/7/1941;;31,5;;;;;
26/7/1941;;31,5;;;;;
27/7/1941;;36,2;;;;;
28/7/1941;;149;;;;;
29/7/1941;;86;;;;;
30/7/1941;;60,1;;;;;
31/7/1941;;44,9;;;;;
1/8/1941;;200;;;;;
2/8/1941;;594;;;;;
3/8/1941;;504;;;;;
4/8/1941;;406;;;;;
5/8/1941;;312;;;;;
6/8/1941;;251;;;;;
7/8/1941;;200;;;;;
8/8/1941;;155;;;;;
9/8/1941;;131;;;;;
10/8/1941;;113;;;;;
11/8/1941;;99,2;;;;;
12/8/1941;;90,8;;;;;
13/8/1941;;83,6;;;;;
14/8/1941;;81,2;;;;;
15/8/1941;;98;;;;;
16/8/1941;;95,6;;;;;
17/8/1941;;103;;;;;
18/8/1941;;98;;;;;
19/8/1941;;87,2;;;;;
20/8/1941;;74;;;;;
21/8/1941;;63,2;;;;;
22/8/1941;;57,2;;;;;
23/8/1941;;53,5;;;;;
24/8/1941;;49,6;;;;;
25/8/1941;;45,8;;;;;
26/8/1941;;43;;;;;
27/8/1941;;41,3;;;;;
28/8/1941;;39,6;;;;;
29/8/1941;;37,9;;;;;
30/8/1941;;36,2;;;;;
31/8/1941;;37,9;;;;;
