Data;E65365000;E65925000;E73900000;E73770000;E73765000;E73820000;E73780000;E73690001;E73960000;E73600000
1/1/1946;2,08;;;;;;;;;
2/1/1946;1,93;;;;;;;;;
3/1/1946;1,93;;;;;;;;;
4/1/1946;1,78;;;;;;;;;
5/1/1946;1,78;;;;;;;;;
6/1/1946;1,93;;;;;;;;;
7/1/1946;1,78;;;;;;;;;
8/1/1946;1,63;;;;;;;;;
9/1/1946;1,78;;;;;;;;;
10/1/1946;1,93;;;;;;;;;
11/1/1946;1,93;;;;;;;;;
12/1/1946;1,63;;;;;;;;;
13/1/1946;4,57;;;;;;;;;
14/1/1946;7,17;;;;;;;;;
15/1/1946;3,69;;;;;;;;;
16/1/1946;2,23;;;;;;;;;
17/1/1946;3,48;;;;;;;;;
18/1/1946;3,48;;;;;;;;;
19/1/1946;5,85;;;;;;;;;
20/1/1946;4,82;;;;;;;;;
21/1/1946;3,69;;;;;;;;;
22/1/1946;3,27;;;;;;;;;
23/1/1946;2,65;;;;;;;;;
24/1/1946;3,69;;;;;;;;;
25/1/1946;9,87;;;;;;;;;
26/1/1946;9,87;;;;;;;;;
27/1/1946;6,1;;;;;;;;;
28/1/1946;5,33;;;;;;;;;
29/1/1946;4,57;;;;;;;;;
30/1/1946;9,87;;;;;;;;;
31/1/1946;25,6;;;;;;;;;
1/2/1946;56,8;;;;;;;;;
2/2/1946;58,7;;;;;;;;;
3/2/1946;25,6;;;;;;;;;
4/2/1946;15,5;;;;;;;;;
5/2/1946;12,3;;;;;;;;;
6/2/1946;10,6;;;;;;;;;
7/2/1946;9,27;;;;;;;;;
8/2/1946;9,27;;;;;;;;;
9/2/1946;8,97;;;;;;;;;
10/2/1946;9,87;;;;;;;;;
11/2/1946;10,2;;;;;;;;;
12/2/1946;8,97;;;;;;;;;
13/2/1946;6,36;;;;;;;;;
14/2/1946;5,59;;;;;;;;;
15/2/1946;13;;;;;;;;;
16/2/1946;19,9;;;;;;;;;
17/2/1946;15,5;;;;;;;;;
18/2/1946;19,1;;;;;;;;;
19/2/1946;22,5;;;;;;;;;
20/2/1946;17,4;;;;;;;;;
21/2/1946;13,7;;;;;;;;;
22/2/1946;11,2;;;;;;;;;
23/2/1946;9,87;;;;;;;;;
24/2/1946;10,2;;;;;;;;;
25/2/1946;11,2;;;;;;;;;
26/2/1946;11,6;;;;;;;;;
27/2/1946;14,8;;;;;;;;;
28/2/1946;12,3;;;;;;;;;
1/3/1946;13;;;;;;;;;
2/3/1946;12,6;;;;;;;;;
3/3/1946;12,3;;;;;;;;;
4/3/1946;9,87;;;;;;;;;
5/3/1946;8,07;;;;;;;;;
6/3/1946;6,36;;;;;;;;;
7/3/1946;6,61;;;;;;;;;
8/3/1946;6,1;;;;;;;;;
9/3/1946;6,1;;;;;;;;;
10/3/1946;6,87;;;;;;;;;
11/3/1946;10,2;;;;;;;;;
12/3/1946;7,17;;;;;;;;;
13/3/1946;6,36;;;;;;;;;
14/3/1946;7,17;;;;;;;;;
15/3/1946;7,17;;;;;;;;;
16/3/1946;6,1;;;;;;;;;
17/3/1946;5,33;;;;;;;;;
18/3/1946;5,08;;;;;;;;;
19/3/1946;4,57;;;;;;;;;
20/3/1946;4,31;;;;;;;;;
21/3/1946;4,1;;;;;;;;;
22/3/1946;3,89;;;;;;;;;
23/3/1946;3,69;;;;;;;;;
24/3/1946;3,89;;;;;;;;;
25/3/1946;3,89;;;;;;;;;
26/3/1946;3,48;;;;;;;;;
27/3/1946;3,27;;;;;;;;;
28/3/1946;3,06;;;;;;;;;
29/3/1946;2,85;;;;;;;;;
30/3/1946;2,85;;;;;;;;;
31/3/1946;7,77;;;;;;;;;
1/4/1946;7,47;;;;;;;;;
2/4/1946;5,85;;;;;;;;;
3/4/1946;4,31;;;;;;;;;
4/4/1946;4,1;;;;;;;;;
5/4/1946;3,89;;;;;;;;;
6/4/1946;3,69;;;;;;;;;
7/4/1946;3,06;;;;;;;;;
8/4/1946;3,06;;;;;;;;;
9/4/1946;3,06;;;;;;;;;
10/4/1946;2,85;;;;;;;;;
11/4/1946;2,85;;;;;;;;;
12/4/1946;2,85;;;;;;;;;
13/4/1946;2,85;;;;;;;;;
14/4/1946;2,44;;;;;;;;;
15/4/1946;2,23;;;;;;;;;
16/4/1946;2,44;;;;;;;;;
17/4/1946;2,44;;;;;;;;;
18/4/1946;2,23;;;;;;;;;
19/4/1946;2,23;;;;;;;;;
20/4/1946;2,08;;;;;;;;;
21/4/1946;1,93;;;;;;;;;
22/4/1946;1,78;;;;;;;;;
23/4/1946;1,78;;;;;;;;;
24/4/1946;1,78;;;;;;;;;
25/4/1946;1,78;;;;;;;;;
26/4/1946;1,78;;;;;;;;;
27/4/1946;1,63;;;;;;;;;
28/4/1946;1,63;;;;;;;;;
29/4/1946;1,63;;;;;;;;;
30/4/1946;1,33;;;;;;;;;
1/5/1946;1,93;;;;;;;;;
2/5/1946;1,78;;;;;;;;;
3/5/1946;1,63;;;;;;;;;
4/5/1946;1,48;;;;;;;;;
5/5/1946;1,48;;;;;;;;;
6/5/1946;1,48;;;;;;;;;
7/5/1946;1,48;;;;;;;;;
8/5/1946;1,48;;;;;;;;;
9/5/1946;1,48;;;;;;;;;
10/5/1946;1,33;;;;;;;;;
11/5/1946;1,48;;;;;;;;;
12/5/1946;2,23;;;;;;;;;
13/5/1946;2,44;;;;;;;;;
14/5/1946;1,93;;;;;;;;;
15/5/1946;1,78;;;;;;;;;
16/5/1946;1,63;;;;;;;;;
17/5/1946;1,63;;;;;;;;;
18/5/1946;3,89;;;;;;;;;
19/5/1946;31,4;;;;;;;;;
20/5/1946;10,6;;;;;;;;;
21/5/1946;5,33;;;;;;;;;
22/5/1946;4,31;;;;;;;;;
23/5/1946;4,1;;;;;;;;;
24/5/1946;3,48;;;;;;;;;
25/5/1946;3,06;;;;;;;;;
26/5/1946;2,85;;;;;;;;;
27/5/1946;2,65;;;;;;;;;
28/5/1946;2,44;;;;;;;;;
29/5/1946;2,23;;;;;;;;;
30/5/1946;2,23;;;;;;;;;
31/5/1946;3,06;;;;;;;;;
1/6/1946;13,7;;;;;;;;;
2/6/1946;10,9;;;;;;;;;
3/6/1946;9,57;;;;;;;;;
4/6/1946;6,1;;;;;;;;;
5/6/1946;4,1;;;;;;;;;
6/6/1946;4,57;;;;;;;;;
7/6/1946;4,31;;;;;;;;;
8/6/1946;4,1;;;;;;;;;
9/6/1946;4,1;;;;;;;;;
10/6/1946;3,89;;;;;;;;;
