Data;E73350000;E73300000;E73330000
1/1/1952;;6,04;
2/1/1952;;5,2;
3/1/1952;;3,8;
4/1/1952;;2,84;
5/1/1952;;2,52;
6/1/1952;;2,52;
7/1/1952;;3,16;
8/1/1952;;4,92;
9/1/1952;;3,8;
10/1/1952;;3,16;
11/1/1952;;2,68;
12/1/1952;;2,68;
13/1/1952;;2,68;
14/1/1952;;2,52;
15/1/1952;;2,52;
16/1/1952;;2,52;
17/1/1952;;3,16;
18/1/1952;;4,36;
19/1/1952;;3,32;
20/1/1952;;2,68;
21/1/1952;;2,52;
22/1/1952;;3;
23/1/1952;;3,16;
24/1/1952;;7,09;
25/1/1952;;6,6;
26/1/1952;;4,08;
27/1/1952;;3,48;
28/1/1952;;3,16;
29/1/1952;;2,84;
30/1/1952;;2,36;
31/1/1952;;2,84;
1/2/1952;;2,36;
2/2/1952;;2,84;
3/2/1952;;2,84;
4/2/1952;;2,84;
5/2/1952;;2,84;
6/2/1952;;3,64;
7/2/1952;;3,16;
8/2/1952;;3;
9/2/1952;;2,52;
10/2/1952;;2,11;
11/2/1952;;2,03;
12/2/1952;;1,94;
13/2/1952;;1,86;
14/2/1952;;1,6;
15/2/1952;;1,6;
16/2/1952;;2,2;
17/2/1952;;3,48;
18/2/1952;;6,6;
19/2/1952;;10,5;
20/2/1952;;5,2;
21/2/1952;;3,16;
22/2/1952;;2,52;
23/2/1952;;2,03;
24/2/1952;;1,86;
25/2/1952;;3,32;
26/2/1952;;3;
27/2/1952;;2,52;
28/2/1952;;2,03;
29/2/1952;;1,94;
1/3/1952;;1,86;
2/3/1952;;1,69;
3/3/1952;;1,69;
4/3/1952;;1,6;
5/3/1952;;1,6;
6/3/1952;;1,52;
7/3/1952;;1,43;
8/3/1952;;1,35;
9/3/1952;;1,35;
10/3/1952;;1,35;
11/3/1952;;1,69;
12/3/1952;;1,77;
13/3/1952;;1,69;
14/3/1952;;1,52;
15/3/1952;;1,35;
16/3/1952;;1,43;
17/3/1952;;1,77;
18/3/1952;;1,6;
19/3/1952;;1,52;
20/3/1952;;1,6;
21/3/1952;;1,69;
22/3/1952;;1,94;
23/3/1952;;2,52;
24/3/1952;;2,11;
25/3/1952;;2,03;
26/3/1952;;2,03;
27/3/1952;;2,2;
28/3/1952;;1,86;
29/3/1952;;2,68;
30/3/1952;;4,64;
31/3/1952;;4,08;
1/4/1952;;5,76;
2/4/1952;;4,36;
3/4/1952;;3,16;
4/4/1952;;2,2;
5/4/1952;;2,03;
6/4/1952;;1,94;
7/4/1952;;1,86;
8/4/1952;;1,77;
9/4/1952;;5,48;
10/4/1952;;4,92;
11/4/1952;;3,16;
12/4/1952;;2,84;
13/4/1952;;2,2;
14/4/1952;;2,11;
15/4/1952;;2,11;
16/4/1952;;1,94;
17/4/1952;;1,77;
18/4/1952;;1,6;
19/4/1952;;1,6;
20/4/1952;;1,6;
21/4/1952;;1,52;
22/4/1952;;1,52;
23/4/1952;;1,43;
24/4/1952;;1,35;
25/4/1952;;1,31;
26/4/1952;;1,31;
27/4/1952;;1,31;
28/4/1952;;1,35;
29/4/1952;;1,43;
30/4/1952;;1,43;
1/5/1952;;1,43;
2/5/1952;;1,31;
3/5/1952;;1,31;
4/5/1952;;1,31;
5/5/1952;;1,27;
6/5/1952;;1,27;
7/5/1952;;1,27;
8/5/1952;;1,27;
9/5/1952;;1,23;
10/5/1952;;1,23;
11/5/1952;;1,23;
12/5/1952;;1,23;
13/5/1952;;1,23;
14/5/1952;;1,23;
15/5/1952;;1,19;
16/5/1952;;1,19;
17/5/1952;;1,15;
