Data;E83675000;E83345000;E83029900;E83660000;E83800002;E83892998;E83900000;E83440000;E83690000;E83250000;E83880000;E83300200;E83892990;E83105000;E83050000;E83677000;E83069900;E83520000
1/1/1929;;;;;;;;76,69;220,4241;;;;;;;;;
2/1/1929;;;;;;;;106,2;555,774;;;;;;;;;
3/1/1929;;;;;;;;109,8;836,0718;;;;;;;;;
4/1/1929;;;;;;;;113,4;1053,338;;;;;;;;;
5/1/1929;;;;;;;;108;420,9106;;;;;;;;;
6/1/1929;;;;;;;;106,2;651,7054;;;;;;;;;
7/1/1929;;;;;;;;106,2;466,8202;;;;;;;;;
8/1/1929;;;;;;;;387;1128,657;;;;;;;;;
9/1/1929;;;;;;;;259,5;1078,182;;;;;;;;;
10/1/1929;;;;;;;;177;841,6439;;;;;;;;;
11/1/1929;;;;;;;;135;681,8298;;;;;;;;;
12/1/1929;;;;;;;;262;537,4216;;;;;;;;;
13/1/1929;;;;;;;;193;1128,657;;;;;;;;;
14/1/1929;;;;;;;;146,4;864,0999;;;;;;;;;
15/1/1929;;;;;;;;124,2;1053,338;;;;;;;;;
16/1/1929;;;;;;;;154;754,5117;;;;;;;;;
17/1/1929;;;;;;;;117;537,4216;;;;;;;;;
18/1/1929;;;;;;;;97,15;501,5574;;;;;;;;;
19/1/1929;;;;;;;;84,2;551,1597;;;;;;;;;
20/1/1929;;;;;;;;80,5;346,7259;;;;;;;;;
21/1/1929;;;;;;;;76,69;254,307;;;;;;;;;
22/1/1929;;;;;;;;56,6;242,6703;;;;;;;;;
23/1/1929;;;;;;;;56,6;299,9882;;;;;;;;;
24/1/1929;;;;;;;;53,8;408,7647;;;;;;;;;
25/1/1929;;;;;;;;56,6;501,5574;;;;;;;;;
26/1/1929;;;;;;;;84,2;598,0861;;;;;;;;;
27/1/1929;;;;;;;;307;1368,669;;;;;;;;;
28/1/1929;;;;;;;;189;864,0999;;;;;;;;;
29/1/1929;;;;;;;;152,1;830,5165;;;;;;;;;
30/1/1929;;;;;;;;109,8;819,4564;;;;;;;;;
31/1/1929;;;;;;;;113,4;707,4042;;;;;;;;;
1/2/1929;;;;;;;;87,9;462,5576;;;;;;;;;
2/2/1929;;;;;;;;82,35;408,7647;;;;;;;;;
3/2/1929;;;;;;;;63,6;287,053;;;;;;;;;
4/2/1929;;;;;;;;56,6;274,4778;;;;;;;;;
5/2/1929;;;;;;;;41,2;299,9882;;;;;;;;;
6/2/1929;;;;;;;;44,35;266,2921;;;;;;;;;
7/2/1929;;;;;;;;41,2;246,5108;;;;;;;;;
8/2/1929;;;;;;;;34,9;192,8414;;;;;;;;;
9/2/1929;;;;;;;;32,8;176,7749;;;;;;;;;
10/2/1929;;;;;;;;25,76;155,7502;;;;;;;;;
11/2/1929;;;;;;;;25,76;128,582;;;;;;;;;
12/2/1929;;;;;;;;24;126,0451;;;;;;;;;
13/2/1929;;;;;;;;22,36;118,6257;;;;;;;;;
14/2/1929;;;;;;;;22,36;113,8372;;;;;;;;;
