Data;E82320000;E82350000;E82370000;E82549000;E82769800;E82770000
1/1/1940;;24,4;;;;
2/1/1940;;22;;;;
3/1/1940;;20,5;;;;
4/1/1940;;19,8;;;;
5/1/1940;;22;;;;
6/1/1940;;40,1;;;;
7/1/1940;;171;;;;
8/1/1940;;47;;;;
9/1/1940;;35,6;;;;
10/1/1940;;26,9;;;;
11/1/1940;;26,1;;;;
12/1/1940;;22,8;;;;
13/1/1940;;32;;;;
14/1/1940;;95,4;;;;
15/1/1940;;35,6;;;;
16/1/1940;;25,2;;;;
17/1/1940;;23,5;;;;
18/1/1940;;27,8;;;;
19/1/1940;;21,3;;;;
20/1/1940;;16,8;;;;
21/1/1940;;14,7;;;;
22/1/1940;;16,8;;;;
23/1/1940;;13,8;;;;
24/1/1940;;30,3;;;;
25/1/1940;;35,6;;;;
26/1/1940;;35,6;;;;
27/1/1940;;25,2;;;;
28/1/1940;;19,8;;;;
29/1/1940;;16,8;;;;
30/1/1940;;15,1;;;;
31/1/1940;;15,1;;;;
1/2/1940;;15,6;;;;
2/2/1940;;14,2;;;;
3/2/1940;;48,2;;;;
4/2/1940;;23,5;;;;
5/2/1940;;15,6;;;;
6/2/1940;;23,5;;;;
7/2/1940;;20,5;;;;
8/2/1940;;15,6;;;;
9/2/1940;;12;;;;
10/2/1940;;12;;;;
11/2/1940;;10,7;;;;
12/2/1940;;14,7;;;;
13/2/1940;;12;;;;
14/2/1940;;15,6;;;;
15/2/1940;;14,7;;;;
16/2/1940;;12;;;;
17/2/1940;;10,7;;;;
18/2/1940;;58,2;;;;
19/2/1940;;44,6;;;;
20/2/1940;;22;;;;
21/2/1940;;19;;;;
22/2/1940;;30,3;;;;
23/2/1940;;23,5;;;;
24/2/1940;;16,8;;;;
25/2/1940;;14,7;;;;
26/2/1940;;13,3;;;;
27/2/1940;;12,9;;;;
28/2/1940;;14,2;;;;
29/2/1940;;18,3;;;;
1/3/1940;;13,8;;;;
2/3/1940;;12,4;;;;
3/3/1940;;11,5;;;;
4/3/1940;;10,7;;;;
5/3/1940;;9,86;;;;
6/3/1940;;9,04;;;;
7/3/1940;;30,3;;;;
8/3/1940;;19,8;;;;
9/3/1940;;18,3;;;;
10/3/1940;;34,7;;;;
11/3/1940;;64,7;;;;
12/3/1940;;24,4;;;;
13/3/1940;;15,6;;;;
14/3/1940;;13,8;;;;
15/3/1940;;12,4;;;;
