Data;E65094500;E65095000;E65135000
1/1/1940;;;9,62
2/1/1940;;;8,98
3/1/1940;;;8,56
4/1/1940;;;9,62
5/1/1940;;;10,7
6/1/1940;;;16,1
7/1/1940;;;17,2
8/1/1940;;;19,2
9/1/1940;;;16,3
10/1/1940;;;15,9
11/1/1940;;;19,2
12/1/1940;;;21,2
13/1/1940;;;27,5
14/1/1940;;;26,5
15/1/1940;;;29,4
16/1/1940;;;27,5
17/1/1940;;;26,1
18/1/1940;;;23,2
19/1/1940;;;19,7
20/1/1940;;;16,1
21/1/1940;;;15,2
22/1/1940;;;13,7
23/1/1940;;;12,9
24/1/1940;;;12,4
25/1/1940;;;11,8
26/1/1940;;;12,5
27/1/1940;;;11,8
28/1/1940;;;11,6
29/1/1940;;;11,4
30/1/1940;;;10,7
31/1/1940;;;9,84
1/2/1940;;;18,5
2/2/1940;;;16,3
3/2/1940;;;15,2
4/2/1940;;;15,9
5/2/1940;;;13,3
6/2/1940;;;12,5
7/2/1940;;;12,7
8/2/1940;;;11,4
9/2/1940;;;10,1
10/2/1940;;;9,41
11/2/1940;;;8,98
12/2/1940;;;9,41
13/2/1940;;;8,14
14/2/1940;;;8,35
15/2/1940;;;8,14
16/2/1940;;;8,46
17/2/1940;;;9,62
18/2/1940;;;9,84
19/2/1940;;;9,94
20/2/1940;;;9,62
21/2/1940;;;9,62
22/2/1940;;;9,84
23/2/1940;;;9,62
24/2/1940;;;8,46
25/2/1940;;;7,94
26/2/1940;;;7,62
27/2/1940;;;7,32
28/2/1940;;;7,01
29/2/1940;;;6,81
1/3/1940;;;7,11
2/3/1940;;;7,11
3/3/1940;;;6,91
4/3/1940;;;6,5
5/3/1940;;;6,3
6/3/1940;;;6,2
7/3/1940;;;7,21
8/3/1940;;;7,01
9/3/1940;;;7,01
10/3/1940;;;8,25
11/3/1940;;;7,42
12/3/1940;;;7,11
13/3/1940;;;7,11
14/3/1940;;;6,81
15/3/1940;;;6,1
16/3/1940;;;5,7
17/3/1940;;;5,5
18/3/1940;;;5,31
19/3/1940;;;5,12
20/3/1940;;;4,93
21/3/1940;;;4,74
22/3/1940;;;4,74
23/3/1940;;;4,55
24/3/1940;;;4,55
25/3/1940;;;4,84
26/3/1940;;;5,7
27/3/1940;;;7,32
28/3/1940;;;12,6
29/3/1940;;;10,9
30/3/1940;;;8,98
31/3/1940;;;7,32
1/4/1940;;;6,5
2/4/1940;;;9,09
3/4/1940;;;9,3
4/4/1940;;;8,35
5/4/1940;;;7,11
6/4/1940;;;7,01
7/4/1940;;;6,4
8/4/1940;;;11,6
9/4/1940;;;9,2
10/4/1940;;;8,04
11/4/1940;;;7,42
12/4/1940;;;6,81
13/4/1940;;;6
14/4/1940;;;6,4
15/4/1940;;;8,04
16/4/1940;;;9,73
17/4/1940;;;8,88
18/4/1940;;;6,81
