Data;E72870000;E72849000;E72810000;E72715000;E72680000;E72630000;E72430000
1/1/1940;;;;;36,5;;
2/1/1940;;;;;33,1;;
3/1/1940;;;;;31,4;;
4/1/1940;;;;;30,6;;
5/1/1940;;;;;34,8;;
6/1/1940;;;;;62,5;;
7/1/1940;;;;;76,6;;
8/1/1940;;;;;55,1;;
9/1/1940;;;;;43,2;;
10/1/1940;;;;;39,8;;
11/1/1940;;;;;65,8;;
12/1/1940;;;;;47,5;;
13/1/1940;;;;;39,8;;
14/1/1940;;;;;44,1;;
15/1/1940;;;;;80,6;;
16/1/1940;;;;;267;;
17/1/1940;;;;;252;;
18/1/1940;;;;;208;;
19/1/1940;;;;;172;;
20/1/1940;;;;;128;;
21/1/1940;;;;;92,8;;
22/1/1940;;;;;75,6;;
23/1/1940;;;;;68;;
24/1/1940;;;;;56;;
25/1/1940;;;;;59,2;;
26/1/1940;;;;;94;;
27/1/1940;;;;;140;;
28/1/1940;;;;;151;;
29/1/1940;;;;;119;;
30/1/1940;;;;;90,4;;
31/1/1940;;;;;82,7;;
1/2/1940;;;;;120;;
2/2/1940;;;;;114;;
3/2/1940;;;;;84,8;;
4/2/1940;;;;;68;;
5/2/1940;;;;;57;;
6/2/1940;;;;;52,2;;
7/2/1940;;;;;61,4;;
8/2/1940;;;;;65,8;;
9/2/1940;;;;;48,5;;
10/2/1940;;;;;33,1;;
11/2/1940;;;;;29,9;;
12/2/1940;;;;;38,2;;
13/2/1940;;;;;34;;
14/2/1940;;;;;31,4;;
15/2/1940;;;;;49,4;;
16/2/1940;;;;;69;;
17/2/1940;;;;;69,9;;
18/2/1940;;;;;72,7;;
19/2/1940;;;;;54,1;;
20/2/1940;;;;;78,5;;
21/2/1940;;;;;81,7;;
22/2/1940;;;;;72,7;;
23/2/1940;;;;;56;;
24/2/1940;;;;;44,9;;
25/2/1940;;;;;37,3;;
26/2/1940;;;;;33,1;;
27/2/1940;;;;;29,9;;
28/2/1940;;;;;26,6;;
29/2/1940;;;;;25,2;;
1/3/1940;;;;;23,3;;
2/3/1940;;;;;22,7;;
3/3/1940;;;;;20,9;;
4/3/1940;;;;;20,4;;
5/3/1940;;;;;19,8;;
6/3/1940;;;;;19,2;;
7/3/1940;;;;;19,2;;
8/3/1940;;;;;18;;
9/3/1940;;;;;19,2;;
10/3/1940;;;;;23,9;;
11/3/1940;;;;;25,9;;
12/3/1940;;;;;21,5;;
13/3/1940;;;;;20,9;;
14/3/1940;;;;;23,3;;
15/3/1940;;;;;39,8;;
16/3/1940;;;;;27,2;;
17/3/1940;;;;;20,9;;
18/3/1940;;;;;18,6;;
19/3/1940;;;;;17;;
20/3/1940;;;;;16,5;;
21/3/1940;;;;;15,5;;
22/3/1940;;;;;17;;
23/3/1940;;;;;18,6;;
24/3/1940;;;;;21,5;;
25/3/1940;;;;;22,7;;
26/3/1940;;;;;24,6;;
27/3/1940;;;;;29,3;;
28/3/1940;;;;;59,2;;
29/3/1940;;;;;42,4;;
30/3/1940;;;;;30,6;;
31/3/1940;;;;;25,9;;
1/4/1940;;;;;25,9;;
2/4/1940;;;;;65,8;;
3/4/1940;;;;;102;;
4/4/1940;;;;;178;;
5/4/1940;;;;;139;;
6/4/1940;;;;;98,8;;
7/4/1940;;;;;71,8;;
8/4/1940;;;;;58,1;;
9/4/1940;;;;;49,4;;
10/4/1940;;;;;42,4;;
11/4/1940;;;;;39;;
12/4/1940;;;;;35,6;;
13/4/1940;;;;;49,4;;
14/4/1940;;;;;49,4;;
15/4/1940;;;;;69,9;;
16/4/1940;;;;;65,8;;
17/4/1940;;;;;56;;
