Data;E70500000;E70300000;E70200000;E70100000;E86100000;E86160000
1/1/1943;;1,37;;;;
2/1/1943;;1,37;;;;
3/1/1943;;1,37;;;;
4/1/1943;;1,26;;;;
5/1/1943;;1,15;;;;
6/1/1943;;1,26;;;;
7/1/1943;;1,96;;;;
8/1/1943;;1,37;;;;
9/1/1943;;2,54;;;;
10/1/1943;;1,96;;;;
11/1/1943;;1,37;;;;
12/1/1943;;1,15;;;;
13/1/1943;;1,03;;;;
14/1/1943;;1,26;;;;
15/1/1943;;1,15;;;;
16/1/1943;;1,15;;;;
17/1/1943;;1,26;;;;
18/1/1943;;1,26;;;;
19/1/1943;;1,37;;;;
20/1/1943;;1,96;;;;
21/1/1943;;1,37;;;;
22/1/1943;;1,15;;;;
23/1/1943;;1,03;;;;
24/1/1943;;1,26;;;;
25/1/1943;;9,39;;;;
26/1/1943;;5;;;;
27/1/1943;;2,54;;;;
28/1/1943;;1,37;;;;
29/1/1943;;1,37;;;;
30/1/1943;;1,66;;;;
31/1/1943;;1,96;;;;
1/2/1943;;3,13;;;;
2/2/1943;;5,7;;;;
3/2/1943;;4,3;;;;
4/2/1943;;3,71;;;;
5/2/1943;;2,54;;;;
6/2/1943;;1,66;;;;
7/2/1943;;1,37;;;;
8/2/1943;;1,37;;;;
9/2/1943;;11;;;;
10/2/1943;;15,1;;;;
11/2/1943;;7,09;;;;
12/2/1943;;4,01;;;;
13/2/1943;;3,13;;;;
14/2/1943;;2,25;;;;
15/2/1943;;1,96;;;;
16/2/1943;;1,37;;;;
17/2/1943;;1,37;;;;
18/2/1943;;1,37;;;;
19/2/1943;;1,37;;;;
20/2/1943;;1,26;;;;
21/2/1943;;1,15;;;;
22/2/1943;;1,15;;;;
23/2/1943;;1,03;;;;
24/2/1943;;1,03;;;;
25/2/1943;;1,66;;;;
26/2/1943;;1,37;;;;
27/2/1943;;1,26;;;;
28/2/1943;;1,26;;;;
1/3/1943;;4,01;;;;
2/3/1943;;5,7;;;;
3/3/1943;;4,3;;;;
4/3/1943;;5;;;;
5/3/1943;;4,3;;;;
6/3/1943;;3,42;;;;
7/3/1943;;1,96;;;;
8/3/1943;;1,96;;;;
9/3/1943;;2,83;;;;
10/3/1943;;1,96;;;;
11/3/1943;;1,37;;;;
12/3/1943;;1,15;;;;
13/3/1943;;1,15;;;;
14/3/1943;;6,05;;;;
15/3/1943;;6,39;;;;
16/3/1943;;3,42;;;;
17/3/1943;;2,54;;;;
18/3/1943;;1,37;;;;
19/3/1943;;1,37;;;;
20/3/1943;;1,15;;;;
21/3/1943;;1,15;;;;
22/3/1943;;1,37;;;;
23/3/1943;;2,54;;;;
24/3/1943;;8,59;;;;
25/3/1943;;6,05;;;;
26/3/1943;;3,71;;;;
27/3/1943;;3,13;;;;
28/3/1943;;2,25;;;;
29/3/1943;;1,96;;;;
30/3/1943;;2,83;;;;
31/3/1943;;2,54;;;;
1/4/1943;;1,96;;;;
2/4/1943;;1,96;;;;
3/4/1943;;1,37;;;;
4/4/1943;;1,37;;;;
5/4/1943;;1,37;;;;
6/4/1943;;1,37;;;;
7/4/1943;;1,37;;;;
8/4/1943;;1,15;;;;
9/4/1943;;1,26;;;;
10/4/1943;;1,26;;;;
11/4/1943;;1,37;;;;
12/4/1943;;1,37;;;;
13/4/1943;;1,37;;;;
14/4/1943;;1,26;;;;
15/4/1943;;1,37;;;;
16/4/1943;;12,3;;;;
17/4/1943;;7,09;;;;
18/4/1943;;2,25;;;;
19/4/1943;;2,54;;;;
20/4/1943;;1,96;;;;
21/4/1943;;1,96;;;;
22/4/1943;;1,96;;;;
23/4/1943;;1,96;;;;
24/4/1943;;1,66;;;;
25/4/1943;;1,66;;;;
26/4/1943;;1,96;;;;
27/4/1943;;1,96;;;;
28/4/1943;;1,66;;;;
29/4/1943;;1,37;;;;
30/4/1943;;1,37;;;;
1/5/1943;;1,37;;;;
2/5/1943;;1,26;;;;
3/5/1943;;1,26;;;;
4/5/1943;;1,26;;;;
5/5/1943;;1,26;;;;
6/5/1943;;1,26;;;;
7/5/1943;;1,15;;;;
8/5/1943;;1,15;;;;
9/5/1943;;1,15;;;;
10/5/1943;;1,15;;;;
11/5/1943;;1,15;;;;
12/5/1943;;1,15;;;;
13/5/1943;;1,03;;;;
14/5/1943;;1,15;;;;
15/5/1943;;1,15;;;;
16/5/1943;;1,15;;;;
17/5/1943;;1,15;;;;
18/5/1943;;1,15;;;;
19/5/1943;;1,15;;;;
20/5/1943;;1,15;;;;
21/5/1943;;1,03;;;;
22/5/1943;;1,96;;;;
23/5/1943;;84,1;;;;
24/5/1943;;20,2;;;;
25/5/1943;;17,6;;;;
26/5/1943;;17,6;;;;
27/5/1943;;17;;;;
28/5/1943;;15,6;;;;
29/5/1943;;11;;;;
30/5/1943;;119;;;;
31/5/1943;;52,1;;;;
1/6/1943;;30,3;;;;
2/6/1943;;23;;;;
3/6/1943;;54,3;;;;
4/6/1943;;37,4;;;;
5/6/1943;;34,1;;;;
6/6/1943;;110;;;;
7/6/1943;;71,4;;;;
8/6/1943;;53,5;;;;
9/6/1943;;42,8;;;;
10/6/1943;;27,7;;;;
11/6/1943;;25,9;;;;
12/6/1943;;24,2;;;;
13/6/1943;;19,7;;;;
14/6/1943;;16;;;;
15/6/1943;;13,7;;;;
16/6/1943;;35,4;;;;
17/6/1943;;25,3;;;;
18/6/1943;;41,4;;;;
19/6/1943;;29,6;;;;
20/6/1943;;24,2;;;;
21/6/1943;;20,2;;;;
22/6/1943;;17,6;;;;
23/6/1943;;15,6;;;;
24/6/1943;;55;;;;
25/6/1943;;44,2;;;;
26/6/1943;;34,1;;;;
27/6/1943;;32,2;;;;
28/6/1943;;16;;;;
29/6/1943;;13,2;;;;
30/6/1943;;12,7;;;;
1/7/1943;;40,7;;;;
2/7/1943;;102;;;;
3/7/1943;;52,8;;;;
4/7/1943;;69;;;;
5/7/1943;;53,5;;;;
6/7/1943;;34,1;;;;
7/7/1943;;31,5;;;;
8/7/1943;;30,9;;;;
9/7/1943;;25,3;;;;
10/7/1943;;24,2;;;;
11/7/1943;;78,9;;;;
12/7/1943;;72,3;;;;
13/7/1943;;43,5;;;;
14/7/1943;;34,1;;;;
15/7/1943;;27,7;;;;
16/7/1943;;23,6;;;;
17/7/1943;;20,2;;;;
18/7/1943;;18,6;;;;
19/7/1943;;16;;;;
20/7/1943;;14,1;;;;
21/7/1943;;12,7;;;;
22/7/1943;;11,8;;;;
23/7/1943;;11;;;;
24/7/1943;;10,2;;;;
25/7/1943;;9,39;;;;
26/7/1943;;9,39;;;;
27/7/1943;;8,59;;;;
28/7/1943;;7,79;;;;
29/7/1943;;7,44;;;;
30/7/1943;;68,3;;;;
31/7/1943;;96,4;;;;
1/8/1943;;240;;;;
2/8/1943;;473;;;;
3/8/1943;;105;;;;
4/8/1943;;74,7;;;;
5/8/1943;;53,5;;;;
6/8/1943;;42,1;;;;
7/8/1943;;32,8;;;;
8/8/1943;;29;;;;
9/8/1943;;27,1;;;;
10/8/1943;;24,7;;;;
11/8/1943;;62,7;;;;
12/8/1943;;39,4;;;;
13/8/1943;;30,3;;;;
14/8/1943;;26,5;;;;
15/8/1943;;22,4;;;;
16/8/1943;;19,7;;;;
17/8/1943;;18,1;;;;
18/8/1943;;16;;;;
19/8/1943;;14,6;;;;
20/8/1943;;12,7;;;;
21/8/1943;;39,4;;;;
22/8/1943;;73,9;;;;
23/8/1943;;38,1;;;;
24/8/1943;;30,3;;;;
25/8/1943;;24,7;;;;
26/8/1943;;21,3;;;;
27/8/1943;;18,6;;;;
28/8/1943;;16;;;;
29/8/1943;;13,7;;;;
30/8/1943;;12,7;;;;
31/8/1943;;11,8;;;;
1/9/1943;;11,4;;;;
2/9/1943;;57,3;;;;
3/9/1943;;34,1;;;;
4/9/1943;;25,3;;;;
5/9/1943;;19,7;;;;
6/9/1943;;16,5;;;;
7/9/1943;;15,1;;;;
8/9/1943;;12,7;;;;
9/9/1943;;11,8;;;;
10/9/1943;;10,6;;;;
11/9/1943;;10,2;;;;
12/9/1943;;10,2;;;;
13/9/1943;;153;;;;
14/9/1943;;85,8;;;;
15/9/1943;;59,6;;;;
16/9/1943;;41,4;;;;
17/9/1943;;33,5;;;;
18/9/1943;;70,6;;;;
19/9/1943;;103;;;;
20/9/1943;;59,6;;;;
21/9/1943;;85,8;;;;
22/9/1943;;101;;;;
23/9/1943;;73,1;;;;
24/9/1943;;46,3;;;;
25/9/1943;;37,4;;;;
26/9/1943;;32,2;;;;
27/9/1943;;28,3;;;;
28/9/1943;;23;;;;
29/9/1943;;18,6;;;;
30/9/1943;;18,6;;;;
1/10/1943;;16;;;;
2/10/1943;;14,1;;;;
3/10/1943;;12,7;;;;
4/10/1943;;11,8;;;;
5/10/1943;;12,7;;;;
6/10/1943;;12,7;;;;
7/10/1943;;12,7;;;;
8/10/1943;;11,8;;;;
9/10/1943;;13,7;;;;
10/10/1943;;25,9;;;;
11/10/1943;;13,2;;;;
12/10/1943;;11,8;;;;
13/10/1943;;10,6;;;;
14/10/1943;;25,3;;;;
15/10/1943;;19,1;;;;
16/10/1943;;13,2;;;;
17/10/1943;;11;;;;
18/10/1943;;9,39;;;;
19/10/1943;;8,19;;;;
20/10/1943;;7,44;;;;
21/10/1943;;7,09;;;;
22/10/1943;;32,8;;;;
23/10/1943;;17,6;;;;
24/10/1943;;10,6;;;;
25/10/1943;;9,39;;;;
26/10/1943;;9,8;;;;
27/10/1943;;11;;;;
28/10/1943;;11,8;;;;
29/10/1943;;8,59;;;;
30/10/1943;;7,44;;;;
31/10/1943;;6,39;;;;
1/11/1943;;5,7;;;;
2/11/1943;;7,09;;;;
3/11/1943;;9,39;;;;
4/11/1943;;24,2;;;;
5/11/1943;;11,8;;;;
6/11/1943;;8,19;;;;
7/11/1943;;7,09;;;;
8/11/1943;;6,39;;;;
9/11/1943;;5,7;;;;
10/11/1943;;5;;;;
11/11/1943;;5,35;;;;
12/11/1943;;6,05;;;;
13/11/1943;;5;;;;
14/11/1943;;5;;;;
15/11/1943;;5;;;;
16/11/1943;;3,71;;;;
17/11/1943;;11;;;;
18/11/1943;;30,9;;;;
19/11/1943;;11;;;;
20/11/1943;;7,79;;;;
21/11/1943;;5,7;;;;
22/11/1943;;5;;;;
23/11/1943;;5;;;;
24/11/1943;;5;;;;
25/11/1943;;4,3;;;;
26/11/1943;;4,01;;;;
27/11/1943;;3,71;;;;
28/11/1943;;3,13;;;;
29/11/1943;;3,13;;;;
30/11/1943;;2,83;;;;
1/12/1943;;3,13;;;;
2/12/1943;;3,71;;;;
3/12/1943;;3,71;;;;
4/12/1943;;4,01;;;;
5/12/1943;;10,2;;;;
6/12/1943;;5,7;;;;
7/12/1943;;4,3;;;;
8/12/1943;;3,42;;;;
9/12/1943;;11,8;;;;
10/12/1943;;9,39;;;;
11/12/1943;;7,79;;;;
12/12/1943;;12,7;;;;
13/12/1943;;9,8;;;;
14/12/1943;;6,74;;;;
15/12/1943;;5;;;;
16/12/1943;;4,3;;;;
17/12/1943;;6,05;;;;
18/12/1943;;4,3;;;;
19/12/1943;;3,71;;;;
20/12/1943;;2,83;;;;
21/12/1943;;2,54;;;;
22/12/1943;;2,25;;;;
23/12/1943;;2,25;;;;
24/12/1943;;1,96;;;;
25/12/1943;;2,25;;;;
26/12/1943;;3,13;;;;
27/12/1943;;2,54;;;;
28/12/1943;;1,96;;;;
29/12/1943;;3,71;;;;
30/12/1943;;2,54;;;;
31/12/1943;;1,96;;;;
1/1/1944;;3,13;;;;
2/1/1944;;3,13;;;;
3/1/1944;;3,71;;;;
4/1/1944;;3,42;;;;
5/1/1944;;3,71;;;;
6/1/1944;;4,3;;;;
7/1/1944;;14,6;;;;
8/1/1944;;39,4;;;;
9/1/1944;;58,1;;;;
10/1/1944;;24,2;;;;
11/1/1944;;15,6;;;;
