Data;E84600000;E84559800;E84520000;E84249998;E84300000;E84580000;E84551000;E84520010;E84560000;E84598002
1/1/1940;;;;;;54,5;;;;
2/1/1940;;;;;;50,9;;;;
3/1/1940;;;;;;47,3;;;;
4/1/1940;;;;;;62,5;;;;
5/1/1940;;;;;;93,8;;;;
6/1/1940;;;;;;206,8;;;;
7/1/1940;;;;;;247,5;;;;
8/1/1940;;;;;;103,7;;;;
9/1/1940;;;;;;83;;;;
10/1/1940;;;;;;69,75;;;;
11/1/1940;;;;;;64,5;;;;
12/1/1940;;;;;;59,5;;;;
13/1/1940;;;;;;54,5;;;;
14/1/1940;;;;;;58,5;;;;
15/1/1940;;;;;;59,5;;;;
16/1/1940;;;;;;60,5;;;;
17/1/1940;;;;;;75;;;;
18/1/1940;;;;;;57,5;;;;
19/1/1940;;;;;;50;;;;
20/1/1940;;;;;;47,3;;;;
21/1/1940;;;;;;41,9;;;;
22/1/1940;;;;;;41;;;;
23/1/1940;;;;;;40,1;;;;
24/1/1940;;;;;;44,6;;;;
25/1/1940;;;;;;275,8;;;;
26/1/1940;;;;;;250,5;;;;
27/1/1940;;;;;;191,8;;;;
28/1/1940;;;;;;169,7;;;;
29/1/1940;;;;;;101,5;;;;
30/1/1940;;;;;;82;;;;
31/1/1940;;;;;;72,9;;;;
1/2/1940;;;;;;81;;;;
2/2/1940;;;;;;79;;;;
3/2/1940;;;;;;113;;;;
4/2/1940;;;;;;75;;;;
5/2/1940;;;;;;68,7;;;;
6/2/1940;;;;;;164,5;;;;
7/2/1940;;;;;;244,5;;;;
8/2/1940;;;;;;101,5;;;;
9/2/1940;;;;;;79;;;;
10/2/1940;;;;;;71,85;;;;
11/2/1940;;;;;;79;;;;
12/2/1940;;;;;;104,8;;;;
13/2/1940;;;;;;80;;;;
14/2/1940;;;;;;87,2;;;;
15/2/1940;;;;;;93,8;;;;
16/2/1940;;;;;;87,2;;;;
17/2/1940;;;;;;151,5;;;;
18/2/1940;;;;;;469;;;;
19/2/1940;;;;;;197;;;;
20/2/1940;;;;;;478;;;;
21/2/1940;;;;;;246;;;;
22/2/1940;;;;;;150,2;;;;
23/2/1940;;;;;;113;;;;
24/2/1940;;;;;;86,1;;;;
25/2/1940;;;;;;78;;;;
26/2/1940;;;;;;75;;;;
27/2/1940;;;;;;68,7;;;;
28/2/1940;;;;;;64,5;;;;
29/2/1940;;;;;;60,5;;;;
1/3/1940;;;;;;59,5;;;;
2/3/1940;;;;;;65,55;;;;
3/3/1940;;;;;;73,95;;;;
4/3/1940;;;;;;65,55;;;;
5/3/1940;;;;;;57,5;;;;
6/3/1940;;;;;;53,6;;;;
7/3/1940;;;;;;50,9;;;;
8/3/1940;;;;;;164,5;;;;
9/3/1940;;;;;;113;;;;
10/3/1940;;;;;;96;;;;
11/3/1940;;;;;;102,6;;;;
12/3/1940;;;;;;84;;;;
13/3/1940;;;;;;67,65;;;;
14/3/1940;;;;;;66,6;;;;
15/3/1940;;;;;;53,6;;;;
16/3/1940;;;;;;50;;;;
17/3/1940;;;;;;46,4;;;;
18/3/1940;;;;;;42,8;;;;
19/3/1940;;;;;;41,9;;;;
20/3/1940;;;;;;41;;;;
21/3/1940;;;;;;38,3;;;;
22/3/1940;;;;;;37,4;;;;
23/3/1940;;;;;;36,5;;;;
24/3/1940;;;;;;35,7;;;;
25/3/1940;;;;;;45,5;;;;
26/3/1940;;;;;;45,5;;;;
27/3/1940;;;;;;44,6;;;;
28/3/1940;;;;;;48,2;;;;
29/3/1940;;;;;;50,9;;;;
30/3/1940;;;;;;49,1;;;;
31/3/1940;;;;;;47,3;;;;
1/4/1940;;;;;;40,1;;;;
2/4/1940;;;;;;37,4;;;;
3/4/1940;;;;;;55,5;;;;
4/4/1940;;;;;;54,5;;;;
5/4/1940;;;;;;43,7;;;;
6/4/1940;;;;;;40,1;;;;
7/4/1940;;;;;;37,4;;;;
8/4/1940;;;;;;63,5;;;;
9/4/1940;;;;;;100,4;;;;
10/4/1940;;;;;;87,2;;;;
11/4/1940;;;;;;50;;;;
12/4/1940;;;;;;44,6;;;;
13/4/1940;;;;;;40,1;;;;
14/4/1940;;;;;;39,2;;;;
15/4/1940;;;;;;56,5;;;;
16/4/1940;;;;;;63,5;;;;
17/4/1940;;;;;;45,5;;;;
18/4/1940;;;;;;38,3;;;;
19/4/1940;;;;;;36,5;;;;
20/4/1940;;;;;;34,9;;;;
21/4/1940;;;;;;32,5;;;;
22/4/1940;;;;;;30,9;;;;
23/4/1940;;;;;;34,1;;;;
24/4/1940;;;;;;32,5;;;;
25/4/1940;;;;;;30,1;;;;
26/4/1940;;;;;;31,7;;;;
27/4/1940;;;;;;32,5;;;;
28/4/1940;;;;;;30,9;;;;
29/4/1940;;;;;;28,5;;;;
30/4/1940;;;;;;28,5;;;;
1/5/1940;;;;;;30,9;;;;
2/5/1940;;;;;;110,6;;;;
3/5/1940;;;;;;167,1;;;;
4/5/1940;;;;;;77;;;;
5/5/1940;;;;;;50,9;;;;
6/5/1940;;;;;;50,9;;;;
7/5/1940;;;;;;91,6;;;;
8/5/1940;;;;;;60,5;;;;
9/5/1940;;;;;;48,2;;;;
10/5/1940;;;;;;42,8;;;;
11/5/1940;;;;;;40,1;;;;
12/5/1940;;;;;;37,4;;;;
13/5/1940;;;;;;35,7;;;;
14/5/1940;;;;;;34,9;;;;
15/5/1940;;;;;;39,2;;;;
16/5/1940;;;;;;49,1;;;;
17/5/1940;;;;;;41;;;;
18/5/1940;;;;;;37,4;;;;
19/5/1940;;;;;;34,9;;;;
20/5/1940;;;;;;33,3;;;;
21/5/1940;;;;;;31,7;;;;
22/5/1940;;;;;;30,1;;;;
23/5/1940;;;;;;28,5;;;;
24/5/1940;;;;;;28,5;;;;
25/5/1940;;;;;;29,3;;;;
26/5/1940;;;;;;30,1;;;;
27/5/1940;;;;;;28,5;;;;
28/5/1940;;;;;;27,73;;;;
29/5/1940;;;;;;26,96;;;;
30/5/1940;;;;;;26,19;;;;
31/5/1940;;;;;;26,96;;;;
1/6/1940;;;;;;26,19;;;;
2/6/1940;;;;;;25,42;;;;
3/6/1940;;;;;;24,65;;;;
4/6/1940;;;;;;23,88;;;;
