Cdigo,ANUAL,DJF,MAM,JJA,SON,Latitude,Longitude,Cota
2548049,"2030,185462","801,513792","498,678569","257,817241","472,17586","7166834,23","738562,78",14
2548052,"2127,986667","795,043335","481,903333","399,313332","529,14","7143396,55","708158,352",299
2549000,"1522,650001","472,019998","327,843333","345,383333","409,533333","7131123,04","621836,62",803
2549003,"1523,320001","510,853334","310,093332","345,256669","395,956667","7128843,58","661875,271",867
2549059,"1474,926668","468,786666","311,063333","325,833333","399,616667","7145979,11","612003,164",827
2549061,"1530,979997","495,106666","322,630001","342,063333","408,376664","7140059,28","650318,572",837
2549062,"1331,833328","427,883331","285,496665","307,113332","364,603332","7148000,58","668018,161",900
2549076,"1515,585689","482,68123","320,458307","336,561537","396,180769","7125488,11","631795,871",804
2550001,"1583,193331","494,166666","324,199998","352,479999","447,44","7137945,03","561168,834",765
2550005,"1624,719992","488,916662","366,679999","343,046666","457,463332","7129557,64","532122,13",790
2550032,"1504,036668","464,063332","320,220001","335,44","420,533333","7143922,66","586868,592",792
2648019,"1677,942528","561,886207","392,399655","339,9223","426,121033","7038621,34","728780,945",5
2648028,"1766,229441","628,041271","385,977381","352,049891","455,745446","7072829,07","716342,765",7
2649002,"1924,783332","679,223334","407,976665","399,659999","499,333334","7041535,83","681978,825",61
2649003,"1661,241541","527,014946","360,53214","361,919242","458,874177","7036752,61","662544,197",139
2649004,"1715,533333","588,483332","367,690001","363,966668","449,54","7031244,76","671723,677",67
2649006,"1577,360002","486,550003","340,429999","363,326666","422,779999","7112678,54","619997,872",799
2649007,"1671,137326","581,257726","372,005982","358,262109","410,598545","7021161,4","692115,842",17
2649008,"1741,436667","592,479999","360,783333","383,673335","470,04","7041090,56","671995,716",76
2649009,"1789,47046","607,356897","372,968967","397,016091","478,549194","7015604,3","691148,119",53
2649010,"1794,61","634,026667","388,410001","372,21","451,183332","7035037,98","690531,918",33
2649012,"1928,653332","691,196665","418,306666","387,256666","492,426668","7068127,69","690613,031",29
2649013,"1938,466668","666,17667","408,95","423,266667","506,426667",7076232,"670281,311",103
2649016,"1551,189406","485,189655","323,336081","362,135714","420,642858","7099621,18","639528,074",784
2649017,"1726,183331","569,443334","352,263332","383,429999","474,533331","7043975,67","650890,359",521
2649018,"1530,39667","499,873333","314,640003","340,316665","406,146667","7106162,6","661871,866",812
2649053,"1516,453334","456,963334","321,603334","350,159999","421,586667","7021175,29","618893,995",398
2649054,"1672,045061","500,224366","346,910346","406,051725","459,286209","7065028,5","615209,743",942
2649055,"1531,533332","480,993333","305,696667","366,806665","416,363333","7077065,02","642304,469",851
2649056,"1576,980001","479,663334","330,419998","372,763334","421,396668","7087007,26","607061,696",862
2649057,"1578,739999","527,683333","333,653333","346,573332","401,086668","7102516,63","672544,534",887
2649058,"1457,27724","438,215171","305,931035","347,827586","396,789656","7046522,41","616590,179",383
2649060,"2334,393077","798,503848","509,411536","479,776001","630,629693","7098983,98","691764,541",705
2649061,"1475,456092","465,454863","290,540001","343,423076","412,256461","7024492,53","631866,035",279
2650000,"1694,386669","474,046665","361,756669","410,690001","493,020002","7083073,54","570749,644",782
2650008,"1688,886662","492,889998","368,593335","376,739999","480,806666","7081785,63","512136,999",751
2650014,"1671,796434","547,382066","355,764598","358,705745","456,893104","7019357,78","585038,524",578
2650015,"1613,496667","473,619999","360,723333","366,503335","455,026666","7045446,74","570541,538",814
2650016,"1752,280003","495,493333","388,139999","403,413335","501,960004","7062686,46","539731,155",874
2650018,"1633,593331","464,623334","340,603332","380,78","478,826665","7085342,17","535366,724",773
2651000,"1729,527122","466,323331","393,600002","401,020685","496,362412","7099047,22","491982,213",751
2651001,"1996,739998","549,036666","440,67","460,58","567,436665","7027335,03","420896,667",1047
2651003,"1829,258504","509,67954","417,541035","406,310345","514,148273","7081455,11","472874,668",878
2651004,"1773,587807","482,594583","410,989655","413,592855","495,767856","7105830,29","478347,765",779
2651010,"1787,626663","501,399999","413,146664","381,836666","518,383333","7054152,48","466849,701",1137
2651013,"1760,153329","465,123334","410,589999","409,933332","505,366663","7103168,61","470247,828",813
2651015,"1929,909997","519,78","440,43","429,413332","576,139997","7105732,01","445035,147",910
2651020,"1841,506669","481,836668","425,85","427,343333","537,700001","7107632,62","460020,244",950
2651022,"1999,396353","517,83908","451,492618","456,428818","590,097903","7056600,48","412222,748",1181
2651023,"1969,086665","537,270001","457,153331","434,773334","572,270001","7111262,33","443345,361",866
2651026,"1791,925344","510,178298","413,41478","389,856404","502,294336","7071106,69","457336,973",1147
2651035,"1999,190004","534,550004","452,543334","445,706666","574,576667","7083408,27","413535,404",1146
2651036,"1759,854713","499,466666","400,611033","375,066667","503,566324","7038355,34","473877,487",1052
2651040,"2170,020001","574,836667","501,109998","491,013333","619,36","7028468,82","398756,885",1077
2651043,"2098,650004","545,132144","493,228571","468,660716","605,050002","7070402,75","401993,897",1092
2652001,"1915,981377","505,625174","429,229884","445,55046","550,972412","7018266,13","382624,098",635
2652002,"1941,792347","524,506099","449,988548","416,556961","571,153174","7058594,5","336651,437",521
2652010,"1984,550004","521,546669","448,150001","454,220002","586,816664","7070389,92","400332,664",1073
2652011,"1933,903337","499,550004","446,066669","428,886667","571,093331","7084595,72","343667,403",886
2652012,"2000,21","523,389999","468,930002","424,856666","585,886665","7093523,8","320250,768",796
2652013,"2009,993333","514,886666","473,176668","444,646665","579,886667","7097373,18","331855,353",820
2652015,"2028,031738","521,822141","488,078333","440,710576","576,903446","7092864,2","370588,562",812
2652021,"1915,423337","524,356667","438,97","404,799999","556,046667","7041371,46","311004,718",358
2652025,"2012,58","530,166666","463,840003","436,856665","589,14","7088097,93","328647,616",792
2652031,"2096,706661","549,840001","495,019996","463,16","607,330001","7084207,63","316581,453",862
2652033,"2017,429998","522,533333","466,770001","436,029999","595,096665","7097728,92","340510,72",739
2653001,"1950,765324","502,677298","461,746057","427,75862","567,131625","7073161,16","292576,509",906
2653002,"2146,497758","547,798027","520,650395","458,778201","640,499995","7092276,99","238248,82",804
2653003,"1963,042637","538,129999","451,033675","426,828964","562,609995","7035996,56","295944,348",461
2653004,"2045,999999","551,420003","473,233332","431,343333","590,043333","7046800,48","272317,355",344
2653005,"2099,766665","554,099999","503,916665","433,793334","612,926666","7071560,06","251060,542",707
2653007,"1778,149994","471,80333","396,553333","404,976668","519,66333","7020094,24","300644,618",272
2653019,"1974,913334","514,110002","467,970002","420,326667","581,106664","7096599,58","280232,656",685
2653021,"2045,486666","549,213332","462,473333","433,256668","602,313335","7097934,64","251883,55",615
2653022,"2010,803335","535,996666","462,493335","427,206667","585,693334","7080819,69","296001,944",919
2653023,"2060,633329","536,573333","484,906665","435,786667","609,829998","7085491,27","278757,151",887
2748000,"1662,123596","592,465157","345,918784","345,385714","434,02537","7000707,26","706432,193",28
2748001,"1555,13548","562,531909","313,240739","339,199868","407,962964","6966014,58","702392,518",42
2748003,"1772,670004","635,036671","372,000001","380,893333","454,72","6957761,03","698769,473",218
2748016,"1914,364022","732,174713","405,096666","364,650115","494,531035","6954313,45","720317,649",34
2748017,"1893,709997","686,126665","432,573334","360,303331","484,459999","6905474,65","728592,682",5
2748018,"1732,346668","662,963332","363,336666","344,203336","403,336669","6912009,02","704286,566",430
2749000,"1589,889999","508,52","329,216667","357,829999","438,883332","7008325,29","659200,297",95
2749001,"1491,701951","470,418505","297,026781","341,530001","424,643332","7006719,14","647109,894",160
2749002,"1564,900003","479,293334","309,500001","392,796668","426,523335","6968631,04","637840,528",368
2749003,"1654,112875","539,606898","345,334484","348,963332","458,428162","7000633,4","599670,473",378
2749005,"1425,153335","435,683336","284,12","337,283333","396,263333","7008987,21","639888,197",284
2749006,"1550,046669","483,036668","321,919999","359,046668","433,373334","6984619,89","604849,816",356
2749007,"1556,593337","478,313335","295,813333","402,266667","429,100001","6931586,81","659416,475",828
2749012,"1854,413337","682,633335","407,716669","369,476667","445,616667","6901754,53","685391,643",320
2749013,"1510,57667","462,09","301,18","363,253335","424,426665","6980802,2","621836,321",342
2749015,"1710,496668","608,113331","354,780001","373,890001","450,236669","6967936,14","699731,113",94
2749016,"1557,103336","500,960001","319,67","354,93","423,660001","7008061,83","660547,429",92
2749017,"1503,946666","466,109999","304,010001","367,426667","405,78","6957123,47","642925,945",426
2749020,"1930,963331","718,076665","377,076666","404,213335","512,62","6937475,15","696657,816",842
2749027,"1945,231726","707,733334","416,072415","396,67931","473,82069","6911137,71","683840,797",442
2749033,"1451,374025","461,519083","293,270001","339,387815","401,997126","6969019,06","661608,905",388
2749034,"1546,183338","477,780002","312,700001","383,396669","421,82","6956173,83","669152,469",550
2749035,"1682,562414","482,759308","346,140002","428,117241","479,413793","6930679,77","604060,758",860
2749037,"1443,834714","427,933334","286,643334","375,774024","395,765518","6936796,08","661211,209",445
2749039,"1561,639285","477,242855","328,485716","362,182143","428,260714","6990046,61","635520,453",341
